country_code,reference_date_1_january_31_december,births_thousands,variant
32,1963,497.7,Estimates
32,1964,501.303,Estimates
32,1965,505.604,Estimates
32,1966,510.875,Estimates
32,1967,517.364,Estimates
32,1968,525.326,Estimates
32,1969,535.005,Estimates
32,1970,547.141,Estimates
32,1971,562.535,Estimates
32,1972,581.061,Estimates
32,1973,602.011,Estimates
32,1974,624.338,Estimates
32,1975,646.074,Estimates
32,1976,664.93,Estimates
32,1977,679.36,Estimates
32,1978,688.549,Estimates
32,1979,692.479,Estimates
32,1980,692.059,Estimates
32,1981,688.983,Estimates
32,1982,685.515,Estimates
32,1983,683.454,Estimates
32,1984,683.579,Estimates
32,1985,686.234,Estimates
32,1986,691.16,Estimates
